schwedisch,deutsch,chapter,checkword,erfolg
du (subjektspronomen),du (Subjektpronomen),1_1,du,0
"kunna (kan, kunde, kunnat) ",können,1_1,kunna,0
svenska (-n),Schwedisch,1_1,svenska,0
"kombinera (-r, -de, -t)  ",kombinieren,1_1,kombinera,0
"foto (-t, -n, -na) ",Foto,1_1,foto,0
och ,und,1_1,och,0
"ord (-et, =, -en) ",Wort,1_1,ord,0
"hamburgare (-n, =, hamburgarna) ",Hamburger,1_1,hamburgare,0
"advokat (-en, -er, -erna) ",Anwalt/Anwältin,1_1,advokat,0
"potatis (-en, -ar, -arna)  ",Kartoffel,1_1,potatis,0
"mobil (-en, -er, -erna) ",Handy,1_1,mobil,0
"papper (-et, =, -en) ",Papier,1_1,papper,0
"kaffe (-t, -) ",Kaffee,1_1,kaffe,0
"bok (-en, böcker, böckerna)  ",Buch,1_1,bok,0
"kanelbulle (-n, -bullar, -bullarna) ",Zimtschnecke,1_1,kanelbulle,0
"penna (-n, -or, -orna)  ",Stift,1_1,penna,0
"vatten (vattnet, =, vattnen) ",Wasser,1_1,vatten,0
"lång (-t, -a) ",lang,1_1,lang,0
eller  ,oder,1_1,eller,0
"exempel (exemplet, =, exemplen)  ",Beispiel,1_1,exempel,0
till exempel (t.ex.),zum Beispiel (z.B.),1_1,till exempel,0
på kurs,im Kurs,1_2,pa kurs,0
"kurs (-en, -er, -erna) ",Kurs,1_2,kurs,0
Hej! ,Hallo!,1_2,Hej!,0
jag (subjektspronomen),ich (Subjektpronomen),1_2,jag,0
"heta (heter, hette, hetat) ",heissen,1_2,heta,0
varifrån ,"woher, von wo",1_2,varifran,0
"komma (kommer, kom, kommit) ",kommen,1_2,komma,0
från ,"aus, von",1_2,fran,0
Australien,Australien,1_2,Australien,0
Och du?,Und du?,1_2,Och du?,0
Spanien,Spanien,1_2,Spanien,0
nej ,nein,1_2,nej,0
Argentina,Argentinien,1_2,Argentina,0
jaha,"aha, ach so, ah",1_2,jaha,0
Vad talar du för språk? ,Was sprichst du für Sprachen?,1_2,Vad talar du för sprak?,0
vad ... för ,was … für,1_2,vad ... för,0
"tala (-r, -de, -t) ","sprechen, reden",1_2,tala,0
"språk (-et, =, -en) ",Sprache,1_2,sprak,0
engelska (-n),Englisch,1_2,engelska,0
lite,ein bisschen,1_2,lite,0
spanska (-n),Spanisch,1_2,spanska,0
såklart ,"natürlich, selbstverständlich",1_2,saklart,0
Vad bra!,(Wie) schön! (Wie) toll! / Super! (wörtlich: Wie gut!),1_2,Vad bra!,0
bra (unveränderlich),gut,1_2,bra,0
Vad heter du?  ,Wie heisst du?,1_2,Vad heter du?,0
vad ,was,1_2,vad,0
Tyskland,Deutschland,1_2,Tyskland,0
Italien,Italien,1_2,Italien,0
"vara (är, var, varit) ",sein,1_2,vara,0
var ,wo,1_2,var,0
"ligga (ligger, låg, legat) ",liegen,1_2,ligga,0
det (subjekt- och objektpronomen),"es, das (Subjekt- und Objektpronomen)",1_2,det,0
i norra [Italien],"im nördlichen [Italien], in Nord[italien]",1_2,i norra [Italien],0
"prata (-r, -de, -t) ",reden,1_2,prata,0
pyttelite ,ein kleines bisschen,1_2,pyttelite,0
italienska (-n),Italienisch,1_2,italienska,0
Vad kul! ,"(Wie) schön!, (Wie) toll!",1_2,Vad kul!,0
kul (unveränderlich),"schön, lustig, nett",1_2,kul,0
Du då?,Und du? (Wörtlich: Du denn?),1_2,Du da?,0
"presentera (-r, -de, -t)",vorstellen,1_2,presentera,0
varandra ,einander,1_2,varandra,0
han (subjektspronomen),er (Subjektpronomen),1_2,han,0
hon (subjektspronomen),sie (Sg.) (Subjektpronomen),1_2,hon,0
den (subjekts- och objektspronomen),"es, das (Subjekt- und Objektpronomen)",1_2,den,0
vi (subjektspronomen),wir (Subjektpronomen),1_2,vi,0
ni (subjektspronomen),ihr (Subjektpronomen),1_2,ni,0
de (subjektspronomen),sie (Pl.) (Subjektpronomen),1_2,de,0
"arbeta (-r, -de, -t) ",arbeiten,1_3,arbeta,0
här,hier,1_3,här,0
"bild (-en, -er, -erna)",Bild,1_3,bild,0
"ingenjör (-en, -er, -erna) ",Ingenieur/in,1_3,ingenjör,0
"läkare (-n, =, läkarna) ",Arzt/Ärztin,1_3,läkare,0
"tandläkare (-n, =, tandläkarna)  ",Zahnarzt/Zahnärztin,1_3,tandläkare,0
"sjuksköterska (-n, -or, -orna)  ",Krankenschwester/Krankenpfleger,1_3,sjuksköterska,0
"busschaufför (-en, -er, -erna) ",Busfahrer/in,1_3,busschaufför,0
"frisör (-en, -er, -erna)  ",Coiffeur/Coiffeuse,1_3,frisör,0
"webbdesigner (-n, =, -na) ",Webdesigner/in,1_3,webbdesigner,0
"fotograf (-en, -er, -erna)  ",Fotograf/in,1_3,fotograf,0
"lärare (-n, =, lärarna) ",Lehrer/in,1_3,lärare,0
"servitör (-en, -er, -erna)  ",Kellner,1_3,servitör,0
"servitris (-en, -er, -erna)",Kellnerin,1_3,servitris,0
"kock (-en, -ar, -arna) ",Koch/Köchin,1_3,kock,0
inte,nicht,1_3,inte,0
nähä ,"ah nicht, ach so, aha",1_3,nähä,0
"göra (gör, gjorde, gjort)  ",machen,1_3,göra,0
[Vad gör du] då?  ,[Was machst du] denn?,1_3,[Vad gör du] da?,0
"plugga (-r, -de, -t) ","studieren, büffeln",1_3,plugga,0
"studera (-r, -de, -t) ",studieren,1_3,studera,0
"design (-en, -er, -erna) ",Design,1_3,design,0
"pensionär (-en, -er, -erna) ",Rentner/in,1_3,pensionär,0
"jobba (-r, -de, -t)  ",arbeiten,1_3,jobba,0
ja ,ja,1_3,ja,0
med ,mit,1_3,med,0
"barn (-et, =, -en) ",Kind,1_3,barn,0
nu,"jetzt, nun",1_3,nu,0
"förskola (-n, -or, -orna) ",Kindergarten,1_3,förskola,0
"söka (-er, -te, -t) jobb",eine Arbeit/einen Job suchen,1_3,söka jobb,0
"söka (-er, -te, -t) ",suchen,1_3,söka,0
"jobb (-et, =, -en) ","Job, Arbeit",1_3,jobb,0
på restaurang,in einem/in ein Restaurant,1_3,pa restaurang,0
"restaurang (-en, -er, -erna) ",Restaurant,1_3,restaurang,0
Lycka till!,Viel Glück!,1_3,Lycka till!,0
"fråga (-r, -de, -t)",fragen,1_3,fraga,0
"svara (-r, -de, -t)",antworten,1_3,svara,0
"jobba (-r, -de, -t) på [en bank]",auf [einer Bank] arbeiten,1_3,jobba pa [en bank],0
"IT-företag (-et, =, -en) ",IT-Unternehmen,1_3,IT-företag,0
"bank (-en, -er, -erna) ",Bank,1_3,bank,0
Vad arbetar/jobbar du med?,Was arbeitest du?,1_3,Vad arbetar/jobbar du med?,0
"jobba (-r, -de, -t) med [barn]",mit [Kindern] arbeiten,1_3,jobba med [barn],0
"yrke (-t, -n, -na) ",Beruf,1_3,yrke,0
"ekonomi (-n, -er, -erna) ",Wirtschaft,1_3,ekonomi,0
"programmerare (-n, =, programmerarna) ",Programmierer/in,1_3,programmerare,0
"ekonom (-en, -er, -erna) ","Betriebswirt/in, Volkswirt/in",1_3,ekonom,0
"förskolelärare (-n, =, förskolelärarna)  ",Kindergärtner/in,1_3,förskolelärare,0
"programmering (-en, -ar, -arna) ",Programmierung,1_3,programmering,0
"läsa (-er, -te, -t) ",lesen; hier: studieren,1_3,läsa,0
"studera (-r, -de, -t) till",studieren um ... zu werden (wörtlich: studieren zum/zur …),1_3,studera till,0
"höra (hör, hörde, hört) ",hören,1_3,höra,0
"kryssa (-r, -de, -t) för ",ankreuzen,1_3,kryssa för,0
"rätt (=, -a) ","richtig, recht",1_3,rätt,0
"alternativ (-et, =, -en)",Alternative,1_3,alternativ,0
"polis (-en, -er, -erna) ","Polizei, Polizist/in",1_3,polis,0
"biolog (-en, -er, -erna) ",Biologe/Biologin,1_3,biolog,0
"kemist (-en, -er, -erna) ",Chemiker/in,1_3,kemist,0
"gift (=, -a) ",verheiratet,1_4,gift,0
"sambo (-n, -r, -rna) ",Lebensgefährte/Lebensgefährtin (wörtlich: Zusammenwohnende/r),1_4,sambo,0
